MONTHLY SALES BY TITLE
MARBLE PRESS LLC - 57395
PERIOD - 0623
ISBN #,TITLE,WAREHOUSE,ORDER #,PONO,CUSTOMER,UNITS SOLD,DISC %,AMOUNT
 
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6103618,MOM9082028,BAKER & TAYLOR BOOKS,0,50.00,0.00
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6103658,COM9073188,BAKER & TAYLOR BOOKS,0,50.00,0.00
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6105307,FL6163JB,BOSWELL BOOK COMPANY,0,50.00,0.00
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6108340,50015252,LEFT BANK BOOKS,0,45.00,0.00
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6105283,NVLW1246,NOVEL MEMPHIS,0,45.00,0.00
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6108400,FL2028,QUAIL RIDGE BOOKS & MUSIC,0,45.00,0.00
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6113749,20003497,WOMEN AND CHILDREN FIRST,0,45.00,0.00
SUBTOTAL 9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,,,,,0,,0.00
9781958325025,MY BIG EMBARRASSING ELEPHANT,1,6103618,MOM9082028,BAKER & TAYLOR BOOKS,0,50.00,0.00
9781958325025,MY BIG EMBARRASSING ELEPHANT,1,6103658,COM9073188,BAKER & TAYLOR BOOKS,0,50.00,0.00
9781958325025,MY BIG EMBARRASSING ELEPHANT,1,6100609,FAL23,BOOKMARKS,0,45.00,0.00
9781958325025,MY BIG EMBARRASSING ELEPHANT,1,6105307,FL6163JB,BOSWELL BOOK COMPANY,0,50.00,0.00
9781958325025,MY BIG EMBARRASSING ELEPHANT,1,6104622,730883,BRODART CO,0,50.00,0.00
9781958325025,MY BIG EMBARRASSING ELEPHANT,1,6108707,731367,BRODART CO,0,50.00,0.00
9781958325025,MY BIG EMBARRASSING ELEPHANT,1,6108340,50015252,LEFT BANK BOOKS,0,45.00,0.00
9781958325025,MY BIG EMBARRASSING ELEPHANT,1,6105283,NVLW1246,NOVEL MEMPHIS,0,45.00,0.00
9781958325025,MY BIG EMBARRASSING ELEPHANT,1,6108470,1001-2936,TOY BOX,0,53.00,0.00
9781958325025,MY BIG EMBARRASSING ELEPHANT,1,6111479,BTPSFA23,VIEWPOINT BOOKS,0,45.00,0.00
9781958325025,MY BIG EMBARRASSING ELEPHANT,1,6113749,20003497,WOMEN AND CHILDREN FIRST,0,45.00,0.00
SUBTOTAL 9781958325025,MY BIG EMBARRASSING ELEPHANT,,,,,0,,0.00
TOTAL,,,,,,0,,0
