EBOOK SALES BY TITLE REPORT
57395 - MARBLE PRESS LLC
PERIOD from 06-01-24 to 06-30-24
ORDER NBR,DATE,ISBN,TITLE,QUANTITY,PRODUCT AMT
6304288,06-14-24,9781958325018,Ellie In First Position: A Graphic Novel,1,4.99
6304288,06-14-24,9781958325018,Ellie In First Position: A Graphic Novel,1,4.99
Subtotal for Ellie In First Position: A Graphic Novel,,,,2,9.98
 
6303404,06-12-24,9781958325032,My Big Embarrassing Elephant,6,29.97
6303404,06-12-24,9781958325032,My Big Embarrassing Elephant,1,4.99
6304288,06-14-24,9781958325032,My Big Embarrassing Elephant,1,4.99
Subtotal for My Big Embarrassing Elephant,,,,8,39.95
 
Total,,,,10,49.93
