PUBLISHER FREE BOOK REPORT FOR PERIOD 07-24
57395 MARBLE PRESS LLC
 
AUTHOR,TITLE,ISBN,TRACKING REASON,INVOICE,DATE,SHIP TO,SHIP QTY,FREIGHT,FULFILLMENT
MAIER BRENDA/MEZES FANNI,ADVENTURES OF PENGUIN AND PANDA: FUN AND,9781958325070,CONS,6314574,07-16-24,FRASER DIRECT,20,      0.00,      0.00
MAIER BRENDA/MEZES FANNI,ADVENTURES OF PENGUIN AND PANDA: SURPRIS,9781958325056,CONS,6314574,07-16-24,FRASER DIRECT,20,      0.00,      0.00
TORRES HEATHER DAWN/LAIB GARY,TRACTOR SQUAD,9781958325209,CONS,BO441651,07-24-24,FRASER DIRECT,20,     68.94,      0.00
ANDERSON BRIAN,SOPHIE: FRANKENSTEINS HOUND: A GRAPHIC N,9781958325254,MAR,6317856,07-26-24,MARKETING & SALES COPY,6,      0.00,      0.00
ANDERSON BRIAN,SOPHIE: JURASSIC BARK: A GRAPHIC NOVEL  ,9781958325148,MAR,6317856,07-26-24,MARKETING & SALES COPY,6,      0.00,      0.00
BUCHET NELLY/BALL MATHIAS,LITTLE WOLFS HOWL: A STORY OF GETTING LO,9781958325186,MAR,6317856,07-26-24,MARKETING & SALES COPY,6,      0.00,      0.00
CARLIN PATRICIA,DOGS NEXT DOOR,9781958325230,MAR,6317856,07-26-24,MARKETING & SALES COPY,6,      0.00,      0.00
LUCAS ANGIE/SANFELIPPO ANA,RAFA AND THE WRONG LEGS,9781958325223,MAR,6317856,07-26-24,MARKETING & SALES COPY,6,      0.00,      0.00
MAIER BRENDA/MEZES FANNI,ADVENTURES OF PENGUIN AND PANDA: SURPRIS,9781958325056,MAR,6315710,07-19-24,MARKETING & SALES COPY,6,      0.00,      0.00
MAIER BRENDA/MEZES FANNI,ADVENTURES OF PENGUIN AND PANDA: WINTERF,9781958325162,MAR,6317856,07-26-24,MARKETING & SALES COPY,6,      0.00,      0.00
TORRES HEATHER DAWN/LAIB GARY,TRACTOR SQUAD,9781958325209,MAR,6317856,07-26-24,MARKETING & SALES COPY,6,      0.00,      0.00
COLLINS-BLACK JON/GSELL NICOLE,OUR UNBREAKABLE THREAD: A FAMILYS LOVE T,9781958325087,PB,6319078,07-31-24,DIMA,1,      5.38,      2.05
COLLINS-BLACK JON/GSELL NICOLE,OUR UNBREAKABLE THREAD: A FAMILYS LOVE T,9781958325087,PB,6319079,07-31-24,MARKOW,1,      5.38,      2.05
COLLINS-BLACK JON/GSELL NICOLE,OUR UNBREAKABLE THREAD: A FAMILYS LOVE T,9781958325087,PB,6319080,07-31-24,UPTON,1,      5.38,      2.05
MAIER BRENDA/MEZES FANNI,ADVENTURES OF PENGUIN AND PANDA: FUN AND,9781958325070,PB,6315641,07-18-24,GREEN,20,      5.44,      7.85
MAIER BRENDA/MEZES FANNI,ADVENTURES OF PENGUIN AND PANDA: SURPRIS,9781958325056,PB,6315641,07-18-24,GREEN,20,      5.45,      7.85
MAIER BRENDA/MEZES FANNI,ADVENTURES OF PENGUIN AND PANDA: SURPRIS,9781958325056,PB,6319069,07-31-24,ROTHMAN,1,      4.63,      2.05
MAIER BRENDA/MEZES FANNI,ADVENTURES OF PENGUIN AND PANDA: SURPRIS,9781958325056,PB,6319070,07-31-24,MUENZ,1,      4.63,      2.05
MAIER BRENDA/MEZES FANNI,ADVENTURES OF PENGUIN AND PANDA: SURPRIS,9781958325056,PB,6319081,07-31-24,CARLSON,1,      4.63,      2.05
YLVISAKER ANNE,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP ,9781958325124,PB,6316903,07-23-24,PALACIOS,1,      8.50,      2.05
YLVISAKER ANNE,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP ,9781958325124,PB,6316904,07-23-24,REED,1,      8.50,      2.05
YLVISAKER ANNE,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP ,9781958325124,PB,6316905,07-23-24,INKSPELL BOOKS,1,      8.50,      2.05
YLVISAKER ANNE,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP ,9781958325124,PB,6316906,07-23-24,BOOKS  INC,1,      8.50,      2.05
YLVISAKER ANNE,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP ,9781958325124,PB,6316907,07-23-24,BOOKS  INC,1,      8.50,      2.05
YLVISAKER ANNE,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP ,9781958325124,PB,6316908,07-23-24,BOOKSMART,1,      8.50,      2.05
YLVISAKER ANNE,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP ,9781958325124,PB,6316909,07-23-24,BANTER BOOKSHOP,1,      8.50,      2.05
YLVISAKER ANNE,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP ,9781958325124,PB,6316910,07-23-24,LINDEN TREE,1,      8.50,      2.05
YLVISAKER ANNE,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP ,9781958325124,PB,6316911,07-23-24,WARWICKS,1,      8.80,      2.05
YLVISAKER ANNE,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP ,9781958325124,PB,6316912,07-23-24,KEPLER'S,1,      8.50,      2.05
YLVISAKER ANNE,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP ,9781958325124,PB,6316913,07-23-24,{PAGES} A BOOKSTORE,1,      8.80,      2.05
YLVISAKER ANNE,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP ,9781958325124,PB,6317149,07-24-24,SAKOI,1,      5.38,      2.05
YLVISAKER ANNE,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP ,9781958325124,PB,6317150,07-24-24,BOOKER,1,      5.38,      2.05
YLVISAKER ANNE,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP ,9781958325124,PB,6317151,07-24-24,DIUGUID,1,      5.38,      2.05
YLVISAKER ANNE,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP ,9781958325124,PB,6317152,07-24-24,FUNK,1,      5.38,      2.05
YLVISAKER ANNE,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP ,9781958325124,PB,6317153,07-24-24,PIZZO,1,      5.38,      2.05
YLVISAKER ANNE,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP ,9781958325124,PB,6317154,07-24-24,HALPRIN WAYLAND,1,      5.38,      2.05
YLVISAKER ANNE,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP ,9781958325124,PB,6317155,07-24-24,WEE,1,      5.38,      2.05
ANDERSON BRIAN,SOPHIE: FRANKENSTEINS HOUND: A GRAPHIC N,9781958325254,SAMPLE,BO441530,07-24-24,FOLLETT SCHOOL SOLUTIONS,1,      0.00,      0.00
ANDERSON BRIAN,SOPHIE: JURASSIC BARK: A GRAPHIC NOVEL  ,9781958325148,SAMPLE,BO441530,07-24-24,FOLLETT SCHOOL SOLUTIONS,1,      0.00,      0.00
MAIER BRENDA/MEZES FANNI,ADVENTURES OF PENGUIN AND PANDA: FUN AND,9781958325070,SAMPLE,6309954,07-01-24,PENWORTHY COMPANY LLC,1,      0.00,      0.00
MAIER BRENDA/MEZES FANNI,ADVENTURES OF PENGUIN AND PANDA: FUN AND,9781958325070,SAMPLE,6314001,07-16-24,PENWORTHY COMPANY LLC,2,      0.00,      0.00
