INVENTORY RECEIPT BY SUBJECT REPORT
MARBLE PRESS LLC - 57395
PERIOD - 0125
TTRAN,PUB,RECEIPT DATE,ISBN,TITLE,WAREHOUSE,QTY RECEIVED,RECEIVING CHARGES,SUBJECT
105755,57395,01-23-25,9781958325025,MY BIG EMBARRASSING ELEPHANT,1,10158,0.00,
105755,57395,01-23-25,9781958325087,OUR UNBREAKABLE THREAD: A FAMILYS LOVE THROUGH GENERATIONS,1,10320,0.00,
105791,57395,01-30-25,9781958325407,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP AND GROWING UP,1,6320,0.00,
105792,57395,01-30-25,9781958325322,TRACTOR SQUAD SAVES THE DAY,1,6300,0.00,
105793,57395,01-30-25,9781958325285,THESE LITTLE FEET,1,10520,0.00,
105803,57395,01-30-25,9781958325247,GIANT BABY!,1,10098,0.00,
 
SUBJECT TOTALS,,,,,,53716,0.00,
 
 
TOTALS,,,,,,53716,0.00
 
