ACTIVITY SUMMARY REPORT
MARBLE PRESS LLC - 57395
PERIOD - 1225
ISBN,TITLE,AUTHOR,PROD TYPE,WHS,BILL PERIOD,BEG QTY,END QTY,TOT QTY RECV,SHIP QTY,STRG DUE,INSUR DUE,ADJ QTY
L#20,L#25,L#30,L#8,L#3,L#8,R#10,R#10,R#12,R#10,R#10,R#10,R#7
9781958325070,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),Brenda Maier,PB,1,1225,7147,7076,14,85,70.76,,
9781958325414,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),Brenda Maier,CB,1,1225,4959,4945,,14,0.00,,
9781958325445,ADVENTURES OF PENGUIN AND PANDA: IN THE DARK (VOL 4): A GRAPHIC NOVEL,Brenda Maier,PB,1,1225,1129,1007,3,125,0.00,,
9781958325452,ADVENTURES OF PENGUIN AND PANDA: IN THE DARK (VOL 4): A GRAPHIC NOVEL,Brenda Maier,CB,1,1225,1787,1665,,122,0.00,,
9781958325056,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),Brenda Maier,PB,1,1225,6622,6558,9,73,65.58,,
9781958325711,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),Brenda Maier,CB,1,1225,4946,4921,3,28,0.00,,
9781958325162,ADVENTURES OF PENGUIN AND PANDA: WINTERFEST: GRAPHIC NOVEL (3),Brenda Maier,PB,1,1225,8338,8276,3,65,82.76,,
9781958325421,ADVENTURES OF PENGUIN AND PANDA: WINTERFEST: GRAPHIC NOVEL (3),Brenda Maier,CB,1,1225,1879,1826,,53,0.00,,
9781958325230,DOGS NEXT DOOR,Patricia Carlin,CB,1,1225,4430,4428,1,3,44.28,,
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,Brian Freschi,PB,1,1225,7957,7908,,49,79.08,,
9781958325247,GIANT BABY!,Liz Rosenberg,CB,1,1225,9125,9136,13,2,0.00,,
9781958325391,I SAID NO: A KID-TO-KID GUIDE TO KEEPING PRIVATE PARTS PRIVATE,Kimberly King,CB,1,1225,12947,7793,1216,6370,0.00,,
9781958325377,INTO THE DEEP BLUE,Jennifer E. Archer,CB,1,1225,3537,2567,4,974,0.00,,
9781958325100,LINDEN: THE STORY OF A TREE,Colleen Muske,CB,1,1225,4208,4212,13,9,42.12,,
9781958325186,LITTLE WOLFS HOWL: A STORY OF GETTING LOST ONLY TO FIND ONES VOICE,Nelly Buchet,CB,1,1225,3809,3797,2,14,37.97,,
9781958325025,MY BIG EMBARRASSING ELEPHANT,Angie Lucas,CB,1,1225,11537,11527,,10,0.00,,
9781958325124,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP AND GROWING UP,Anne Ylvisaker,CB,1,1225,2617,2631,16,2,26.31,,
9781958325407,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP AND GROWING UP,Anne Ylvisaker,PB,1,1225,6089,6089,2,2,0.00,,
9781958325087,OUR UNBREAKABLE THREAD: A FAMILYS LOVE THROUGH GENERATIONS,Jon Collins-Black,CB,1,1225,20994,20995,1,,0.00,,
9781958325223,RAFA AND THE WRONG LEGS,Angie Lucas,CB,1,1225,3755,3737,,18,37.37,,
9781958325254,SOPHIE: FRANKENSTEINS HOUND: A GRAPHIC NOVEL  VOL.2,Brian Anderson,PB,1,1225,4929,4908,14,35,49.08,,
9781958325308,SOPHIE: FRANKENSTEINS HOUND: A GRAPHIC NOVEL  VOL.2,Brian Anderson,CB,1,1225,2494,2457,,37,24.57,,
9781958325148,SOPHIE: JURASSIC BARK: A GRAPHIC NOVEL  VOL.1,,PB,1,1225,4218,4149,9,78,41.49,,
9781958325292,SOPHIE: JURASSIC BARK: A GRAPHIC NOVEL  VOL.1,,CB,1,1225,2181,2154,2,29,0.00,,
9781958325346,SOPHIE: WAGS TO WISHES (VOL 3): A GRAPHIC NOVEL,Brian Anderson,CB,1,1225,1575,1342,1,234,0.00,,
9781958325353,SOPHIE: WAGS TO WISHES (VOL 3): A GRAPHIC NOVEL,Brian Anderson,PB,1,1225,1039,797,,242,0.00,,
9781958325285,THESE LITTLE FEET,Hayley Rawsthorne,CB,1,1225,9904,9878,12,38,0.00,,
9781958325209,TRACTOR SQUAD,Heather Dawn Torres,CB,1,1225,3680,3674,,6,36.74,,
9781958325322,TRACTOR SQUAD SAVES THE DAY,Heather Dawn Torres,CB,1,1225,5503,5502,2,3,0.00,,
TOTALS,,,,,,163335,155955,1340,8720,638.11,0,0
